Identif;MonthlyPeoples;DailyPeoples;HourlyPeoples_08_22;HourlyPeoples_08_10;HourlyPeoples_17_19;HourlyPeoples_22_08;DistrictName;WKT;HeatmapPoint;Author;lat1;lon1;lat2;lon2
266593;365689;12189;757;1157;1036;158;Южное Медведково;LINESTRING (37.634749 55.869988, 37.633526 55.869904);POINT (37.6341 55.8699);myData.biz;55.869988;37.634749;55.869904;37.633526
266594;3070;102;6;9;8;1;Южное Медведково;LINESTRING (37.633526 55.869904, 37.633327 55.86984);POINT (37.6334 55.8699);myData.biz;55.869904;37.633526;55.86984;37.633327
266595;130248;4341;269;412;368;56;Южное Медведково;LINESTRING (37.649235 55.87226, 37.649245 55.872399);POINT (37.6492 55.8723);myData.biz;55.87226;37.649235;55.872399;37.649245
266596;60138;2004;124;190;170;26;Южное Медведково;LINESTRING (37.649245 55.872399, 37.650039 55.872399);POINT (37.6496 55.8724);myData.biz;55.872399;37.649245;55.872399;37.650039
266597;120569;4018;249;381;341;52;Южное Медведково;LINESTRING (37.650039 55.872399, 37.65005 55.872296);POINT (37.65 55.8723);myData.biz;55.872399;37.650039;55.872296;37.65005
266598;120569;4018;249;381;341;52;Южное Медведково;LINESTRING (37.65005 55.872296, 37.650286 55.872272);POINT (37.6502 55.8723);myData.biz;55.872296;37.65005;55.872272;37.650286
266599;51862;1728;107;164;146;22;Южное Медведково;LINESTRING (37.650286 55.872272, 37.651767 55.872248);POINT (37.651 55.8723);myData.biz;55.872272;37.650286;55.872248;37.651767
266600;94174;3139;195;298;266;40;Южное Медведково;LINESTRING (37.651767 55.872248, 37.651788 55.87238);POINT (37.6518 55.8723);myData.biz;55.872248;37.651767;55.87238;37.651788
266601;98025;3267;203;310;277;42;Южное Медведково;LINESTRING (37.651788 55.87238, 37.651714 55.8725);POINT (37.6518 55.8724);myData.biz;55.87238;37.651788;55.8725;37.651714
266603;15817;527;32;50;44;6;Южное Медведково;LINESTRING (37.645213 55.875514, 37.643822 55.875406);POINT (37.6445 55.8755);myData.biz;55.875514;37.645213;55.875406;37.643822
